iter	RMSE
0	359.6373953
1	352.5023483
2	346.4005528
3	340.9665619
4	336.421895
5	332.1672216
6	328.4409675
7	325.3046873
8	322.5122746
9	320.0621507
10	317.7637183
11	315.6811562
12	313.8872471
13	312.3279376
14	310.8232214
15	309.6411537
16	308.4886123
17	307.4280754
18	306.4823876
19	305.5726611
20	304.8178884
21	304.1052055
22	303.3964294
23	302.7051128
24	302.1617192
25	301.6130139
26	301.1155526
27	300.6279032
28	300.2589903
29	299.8013644
30	299.3712593
31	298.949394
32	298.5542458
33	298.1705172
34	297.7732385
35	297.4862123
36	297.2003389
37	296.9355081
38	296.6269523
39	296.3636977
40	296.0908868
41	295.8646802
42	295.604242
43	295.3715053
44	295.2123258
45	294.9692967
46	294.7677684
47	294.5741823
48	294.3641027
49	294.1770656
50	293.9534169
51	293.7612468
52	293.5939581
53	293.4463322
54	293.2628098
55	293.1065491
56	292.9647109
57	292.7522731
58	292.6085651
59	292.3987851
60	292.2547195
61	292.1127364
62	291.9888749
63	291.8860303
64	291.7590415
65	291.6397363
66	291.492048
67	291.366399
68	291.2131995
69	291.0877724
70	290.9738531
71	290.8654915
72	290.755853
73	290.6434278
74	290.5664208
75	290.4620132
76	290.3307095
77	290.2629612
78	290.1709044
79	290.0844991
80	289.9914742
81	289.9170457
82	289.8471569
83	289.7432109
84	289.6689073
85	289.5869188
86	289.4318847
87	289.3475924
88	289.2590237
89	289.1834279
90	289.0813794
91	288.9945803
92	288.8522461
93	288.7691971
94	288.7219785
95	288.6329141
96	288.5413259
97	288.4882728
98	288.4166807
99	288.3471539
100	288.2685623
101	288.216354
102	288.1356697
103	288.0570519
104	287.989626
105	287.9370862
106	287.8409956
107	287.7703977
108	287.713846
109	287.6374708
110	287.5707529
111	287.5173496
112	287.472444
113	287.4275637
114	287.3689688
115	287.2902466
116	287.2395252
117	287.1618883
118	287.0781154
119	287.0162156
120	286.9654185
121	286.9096917
122	286.825382
123	286.7833656
124	286.7325939
125	286.6294762
126	286.5789437
127	286.5240404
128	286.4611343
129	286.3838117
130	286.3175839
131	286.2542189
132	286.1960044
133	286.1294967
134	286.0875222
135	286.0270684
136	285.9709256
137	285.9189942
138	285.8693304
139	285.8134626
140	285.7507426
141	285.7033362
142	285.6502985
143	285.5971676
144	285.5483764
145	285.4659198
146	285.4134668
147	285.3629666
148	285.3072224
149	285.22746
150	285.1471979
151	285.099138
152	285.0470803
153	284.9617326
154	284.9169513
155	284.8705423
156	284.8209426
157	284.766989
158	284.721952
159	284.6603107
160	284.6002194
161	284.5490919
162	284.4485737
163	284.4177546
164	284.3752818
165	284.3151542
166	284.2663426
167	284.2465823
168	284.1847104
169	284.1292858
170	284.0763322
171	283.9921921
172	283.9386616
173	283.8648776
174	283.8055204
175	283.7399168
176	283.6924787
177	283.6511533
178	283.6010598
179	283.5544558
180	283.5035602
181	283.4575091
182	283.4133725
183	283.3645564
184	283.3013606
185	283.2609756
186	283.2056912
187	283.1719817
188	283.096523
189	283.0354496
190	282.978127
191	282.9339682
192	282.865158
193	282.8079204
194	282.7351747
195	282.6983306
196	282.6374995
197	282.5901665
198	282.547647
199	282.5037527
200	282.4618629
201	282.4173047
202	282.3732032
203	282.3236978
204	282.2812828
205	282.2593621
206	282.2101541
207	282.1657014
208	282.1143786
209	282.020269
210	281.9760853
211	281.9242869
212	281.8629872
213	281.8206694
214	281.8018534
215	281.7637825
216	281.7064696
217	281.6632302
218	281.6166573
219	281.5728503
220	281.530596
221	281.4776641
222	281.4317552
223	281.3930236
224	281.3533373
225	281.2938038
226	281.2567216
227	281.2195887
228	281.1460475
229	281.1052659
230	281.0668468
231	281.0167778
232	280.9821466
233	280.9408945
234	280.9082278
235	280.8741014
236	280.8420234
237	280.8023342
238	280.7734488
239	280.7457301
240	280.697869
241	280.6536689
242	280.6194124
243	280.5684463
244	280.5289975
245	280.4744362
246	280.4342205
247	280.4191242
248	280.3727604
249	280.3390906
250	280.3065241
251	280.2618448
252	280.2351691
253	280.1983483
254	280.1602218
255	280.1326677
256	280.0930736
257	280.0497958
258	280.0118982
259	279.9702036
260	279.9358146
261	279.9236067
262	279.8845817
263	279.7979413
264	279.7554918
265	279.7149151
266	279.6754654
267	279.6230252
268	279.5890402
269	279.5558125
270	279.5229636
271	279.4562321
272	279.4144668
273	279.3842092
274	279.34499
275	279.3040093
276	279.2637997
277	279.2210264
278	279.1969194
279	279.1650312
280	279.1314364
281	279.0972918
282	279.0606136
283	279.0496077
284	279.0136075
285	278.9851583
286	278.9509948
287	278.9153914
288	278.8795333
289	278.8687655
290	278.8279188
291	278.7962782
292	278.7632322
293	278.7295106
294	278.6951794
295	278.6617264
296	278.624625
297	278.5946726
298	278.5610352
299	278.5315431
300	278.4897111
301	278.4848977
302	278.4249727
303	278.3979287
304	278.3605163
305	278.350228
306	278.3184802
307	278.2801506
308	278.2363939
309	278.1984211
310	278.1623397
311	278.1293426
312	278.092692
313	278.0578426
314	278.0193935
315	277.989149
316	277.9662616
317	277.9284838
318	277.8832463
319	277.8354561
320	277.7875506
321	277.747418
322	277.7215089
323	277.673671
324	277.6301409
325	277.6251906
326	277.5951082
327	277.5598049
328	277.5547922
329	277.5143403
330	277.4799843
331	277.4429417
332	277.4195588
333	277.3911189
334	277.342623
335	277.3101174
336	277.2663259
337	277.2321914
338	277.1965988
339	277.1573947
340	277.1420971
341	277.1072404
342	277.0757193
343	277.0500062
344	277.0159044
345	276.9904608
346	276.9713837
347	276.9363259
348	276.9074478
349	276.879112
350	276.8482873
351	276.8184823
352	276.7899
353	276.7439559
354	276.6981667
355	276.6734039
356	276.6438012
357	276.6061298
358	276.5680629
359	276.5371843
360	276.5298972
361	276.4949578
362	276.4541854
363	276.4223251
364	276.396411
365	276.3635069
366	276.3201266
367	276.2825242
368	276.2540466
369	276.2236537
370	276.1894449
371	276.1638394
372	276.1176742
373	276.0904554
374	276.0600957
375	276.0386897
376	276.0113967
377	275.9860919
378	275.9555014
379	275.9442811
380	275.9089521
381	275.8988086
382	275.8738765
383	275.8481832
384	275.8398074
385	275.8152223
386	275.7607074
387	275.7541724
388	275.7263767
389	275.7100695
390	275.6755844
391	275.6480657
392	275.643356
393	275.6093993
394	275.5866155
395	275.5624706
396	275.532384
397	275.5025193
398	275.4748636
399	275.4362708
400	275.4272113
401	275.3779403
402	275.3608705
403	275.3511814
404	275.3215918
405	275.291265
406	275.258737
407	275.2233967
408	275.1840409
409	275.1545898
410	275.1275226
411	275.09539
412	275.0727338
413	275.044379
414	275.0183288
415	274.9778473
416	274.9706744
417	274.9443468
418	274.9122076
419	274.8848752
420	274.8505238
421	274.8183735
422	274.7859324
423	274.7504078
424	274.7212465
425	274.6919019
426	274.6625168
427	274.6289666
428	274.5906485
429	274.5863169
430	274.5509505
431	274.5166738
432	274.4804761
433	274.4447595
434	274.4108516
435	274.370218
436	274.3387527
437	274.3021774
438	274.2778883
439	274.2341614
440	274.203579
441	274.1823129
442	274.1518682
443	274.1203212
444	274.0956417
445	274.0654218
446	274.0368959
447	274.0283092
448	274.003802
449	273.9736141
450	273.9575058
451	273.9368244
452	273.9326796
453	273.9012473
454	273.8703218
455	273.8417051
456	273.8107393
457	273.8006516
458	273.7757761
459	273.7407959
460	273.7044878
461	273.689451
462	273.6596519
463	273.6302952
464	273.595866
465	273.5721451
466	273.5678665
467	273.4956833
468	273.4666517
469	273.4368284
470	273.4125045
471	273.382495
472	273.3577796
473	273.318731
474	273.30035
475	273.2754503
476	273.2483286
477	273.2193933
478	273.1874793
479	273.15924
480	273.1374461
481	273.1136583
482	273.0901955
483	273.0570804
484	273.029405
485	273.0078952
486	272.9771295
487	272.9521062
488	272.9265946
489	272.8967167
490	272.8639277
491	272.8276228
492	272.8030279
493	272.7773204
494	272.7507821
495	272.7240786
496	272.6839075
497	272.6535212
498	272.6195807
499	272.6089929
500	272.5887169
501	272.5688932
502	272.5322855
503	272.5082186
504	272.5001805
505	272.4724706
506	272.4476329
